word,spell
باجه,/bāje/
پروتکل,"/porotokol, peretekol/"
پروتوپلاسم,/po(e)rotop[e]lāsm/
سرخ بید,/sorxbid/
سماحت,/samāhat/
رزیه,/raziy[y]e/
ناراحت,/nārāhat/
انبه,/'ambe/
نار,/nār/
استیم,/'astim/
آلبالو,/'ālbālu/
استیلن,/'asetilen/
هنگ,/hang/
جلسات,/jalasāt/
شفاف,/šaffāf/
هرین,/horin/
قریب الوقوع,/qaribolvoqu'/
قریح,/qarih/
شفاعت گر,/še(a)fa'atgar/
هریوه,/harive/
مزارع,/mazāre'/
مزارعه,/mozāre'e/
توخ,/tux/
توحید,/to[w]hid/
بی حال,/bihāl/
مصاعب,/masā'eb/
سرابیل,/sarābil/
مصاعد,/masā'ed/
مطابق,/motābeq/
سرابستان,/sarābostān/
جگرسفید,/jegarsefid/
مقفل,/moqaffal/
رحال,/rahhāl/
شگون,/šogun/
مقل,/moqel[l]/
رحبه,/rah[a]be/
جگردار,/jegardār/
شگن,/šogon/
صعوبت,/so'ubat/
میزک,/mizak/
صعلوک,
بورک,/burak/
میزراه,/mizrāh/
بورنگ,/burang/
هندسی,/hendesi/
نخراز,/noxrāz/
استرعا,/'ester'ā/
بدسگال,/badsegāl/
کله طاس,/kalletās/
کله شق,/kallešaq[q]/
خشنو,/xošnu/
خشنگ,/xašang/
بدسغان,/badasqān/
استرضا,/'esterzā/
طوطی,/tuti/
نادرویش,/nādarviš/
خداحافظ,/xodāhāfez/
خداترس,/xodātars/
سرافکنده,/sar[']afkande/
بیشترین,/bištarin/
امر,/'amr/
بیشترک,/bištarak/
مطر,/matar/
سرافکندگی,/sar[']afkandegi/
هامال,/hāmāl/
زاد,/zād/
هام,/hām/
اودا,/'aveddā/
اوحد,/'o[w]had/
چهارضلعی,/ča(ā)hārzel'i/
زاخر,/zāxer/
زنادیق,/zanādiq/
مسح,/mash/
زنار,/zonnār/
فئه,/fe'e/
ق,/q/
چهارضرب,/ča(ā)hārzarb/
طلب کار,/talabkār/
شرمگینی,/šarmgini/
شرمگین,/šarmgin/
مسافات,/masāfāt/
مسافت,/masāfat/
نغمه سرا,/naqmesa(o)rā/
مستغنی,/mostaqni/
سبک سار,/saboksār/
پاسخ گزار,/pāsoxgozār/
کاسنی,/kāsni/
پاسخ ده,/pāsoxdeh/
کاسمو,/kāsmu/
خالی السیر,/xāliyosseyr/
ناپایدار,/nāpāydār/
خالی الذهن,/xāliyozzehn/
بنی اسرائیل,/bani'esrā'il/
نضرت,/nazrat/
مجذور,/majzur/
مجذوب,/majzub/
بنیادگر,/bonyādgar/
نضر,/nazr/
تقدیس,/taqdis/
منسوج,/mansuj/
بحبوحه,/bohbu(o)he/
بحار,/behār/
میلیتاریسم,/militārism/
مشک فشان,/mo(e)škfešān/
التقا,/'elteqā/
التفات,/'eltefāt/
بیدانگبین,/bid[']angabin/
زایچه,/zāyče/
شجره,/šajare/
بخنودن,/baxnudan/
زایجه,/zāyje/
بخنو,/ba(o)xno[w]/
بلک,/balak/
سردرختی,/sarderaxti/
چشم بندک,/če(a)šmbandak/
سردرپیش,/sardarpiš/
پرلاف,/porlāf/
ضدین,/zeddeyn/
چشم بند,/če(a)šmband/
ضدیت,
پرلا,/parelā/
تجویف,/tajvif/
ایمن,/'a(e)yman/
لیزیده,/lizide/
نسو,/nasu/
بیزیده,/bizide/
نسنجیده,/nasanjide/
نثار,/nesār/
نتیجه,/natije/
چهارپاره,/ča(ā)hārpāre/
چهارپایه,/ča(ā)hārpāye/
نسا,/nasā/
موهوف,/mo[w]huf/
موهوم,/mo[w]hum/
لخت دوز,/laxtduz/
لخت,/laxt/
تسمی,/tasammi/
تسمیط,/tasmit/
منتهز,/montahez/
طوبی,/tubā/
متحاشی,/motahāši/
فتراک,/fetrāk/
خرسک,/xersak/
فترات,/fatarāt/
خرسته,/xereste/
فروردینگان,/farvardingān/
منظره,/manzare/
آردبیز,/'ārdbiz/
علنا,/'alanan/
چچله,/čačale/
جنگلاهی,/janglāhi/
پوشیده حال,/pušidehāl/
پوشیده چهر,/pušidečehr/
بسطت,/bastat/
بسغده,/basqade/
گوشه,/guše/
گوشه دار,/gušedār/
قرائت,/qe(a)rā'at/
مسمغان,/masmoqān/
کژی,/kaži/
عالم گشا,/'ālamgošā/
مسمن,/mosamman/
قرائت خانه,/qe(a)rā'atxāne/
سنسکریت,/sansk[e]rit/
طسق,/tasq/
بیلیون,/bil[i]yu[o]n/
مفرق,/mafraq/
سنقر,/sonqor/
چپ گرایی,/čapge(a)rāy(')i/
گستردنی,/gostardani/
مسائل,/masā'el/
تشارین,/tašārin/
تشارک,/tašārok/
مهارت,/mahārat/
دادبرده,/dādborde/
مهارشه,/mohāreše/
دادبخشی,/dādbaxši/
اختطاف,/'extetāf/
رخصت,/roxsat/
مفرط,/mofra(e)t/
مواقیت,/mavāqit/
ارشکین,/'araškin/
مفرش,/mafraš/
ارصاد,/'ersād/
کلز,/kelz/
دوتا,/dotā/
کلرید,/kolorid/
آشوردن,/'āšurdan/
قود,/qavad/
بنساله,/bonsāle/
بنزین,/benzin/
تهرانی,/tehrāni/
دوتو,/dotu/
غفلتا,/qe(a)flatan/
سیستن,/sistan/
پیچیده,/pičide/
پیچیدن,/pičidan/
غفلت,/qe(a)flat/
رجا,/rajā/
خرس,/xaras/
جاش,/jāš/
رجاحت,/rajāhat/
جاشدان,/jāšodan/
پولادتن,/pulādtan/
کاربوراتور,/kārbu(o)rātor/
بایگانی,/bāy[e]gāni/
بانگ,/bāng/
پرآهو,/por[']āhu/
نیک نام,/niknām/
پرآوازه,/por[']āvāze/
بانو,/bānu/
ذوالفقار,/zolfaqār/
جادوستان,/jādus[e]tān/
کاشه,/kāše/
بدشگون,/badšogun/
بدسگان,/badasgān/
کاشم,/kāšem/
خشک دست,/xoškdast/
خشک رود,/xoškrud/
اغراق آمیز,/'eqrāq[']āmiz/
لیموترش,/limutorš/
شفش,/šafš/
اغرب,/'aqrab/
قیماق,/qeymāq/
شفشاهنگ,/šafšāhang/
لیمو,/limu/
مهاجم,/mohājem/
مهاجرت,/mohājerat/
پینه کاری,/pinekāri/
پینه کار,/pinekār/
قمری,/qamari/
تلاق,/talāq/
تجافی,/tajāfi/
تجاسر,/tajāsor/
تناسق,/tanāsoq/
قرنباد,/qorombād/
تردماغ,/tardamāq/
برآویختن,/bar[']āvixtan/
شهدا,/šohadā/
برآهختن,/bar[']āhextan/
آینه,/'āy[e]ne/
آینده,/'āyande/
تردستی,/tardasti/
بسا,/basā/
بدخویی,/badxuy(')i/
لوچ,/luč/
بساتین,/basātin/
زبانی,/zabāni/
هیمه دان,/himedān/
هیمه,/hime/
داربام,/dārbām/
شمر,/šamar/
لایح,/lāyeh/
داربر,/dārbor/
شمد,/šamad/
ابوعطا,/'abu'atā/
تربیت,/tarbiyat/
تربیع,/tarbi'/
بخشوده,/baxšude/
دژمنش,/dožmaneš/
جبیره,/jabire/
نعم,/na'am/
روزبه,/ruzbeh/
روزبهی,/ruzbehi/
توقع,/tavaqqo'/
لایحه,/lāyehe/
ساغر,/sāqar/
توقر,/tavaqqor/
ساعی,/sā'i/
احب,/'ahab[b]/
احبا,/'ahebbā/
بلهوس,/bolhavas/
خوک,/xuk/
شنیدن,/še(a)nidan/
کاواک,/kāvāk/
بله بران,/baleborān/
کاو,/kāv/
تبری,/tabari/
شنه,/šane/
مستجاب,/mostajāb/
مستثنا,/mostasnā/
اسریشم,/'esrišam/
سبز آب,/sabz[']āb/
سبزآخور,/sabz[']āxor/
اسری,/'asrā/
متهاجم,/motahājem/
متهاون,/motahāven/
تبرم,/tabarrom/
پالت,/pālet/
فراق,/fe(a)rāq/
کهف الفقرا,/kahfolfoqarā/
کهف,/kahf/
سکنجیدن,"/sakanjidan, sekonjidan/"
عارض,/'ārez/
پرتابیدن,/partābidan/
شهریه,/šahriy[y]e/
خشتک,/xeštak/
حق اللـه,/haqqollāh/
خشت زن,/xeštzan/
پالتو,/pālto/
آویژه,/'āviže/
شهریورگان,/šahrivargān/
کز,/kaz/
نشل,/našal/
پوده,/pude/
عار,/'ār/
کره,/kare/
فالوده,/fālude/
کریه المنظر,/kariholmanzar/
حق القدم,/haqqolqadam/
گونی,/guni/
فالنجیقن,/fālenjiqan/
اژدهافش,/'ežde(a)hāfaš/
گونه گون,/gunegun/
الغار,/'elqār/
اشق,/'ošaq/
ناخواهان,/nāxāhān/
ناخواه,/nāxāh/
برگ ریزان,/bargrizān/
برگزار,/bargozār/
گشاده رویی,/gošāderuy(')i/
گشاده زبان,/gošādezabān/
سلس,/salas/
چهل بند,/čehelband/
بزن بکوب,/bezanbekub/
کیش,/kiš/
اشقاقل,/'ešqāqol/
کفر,/kofr/
زورمند,/zurmand/
زورگو,/zurgu/
رهاننده,/rahānande/
وفا,/vafā/
رهانده,/rahānde/
سرگرایی,/sarge(a)rāy(')i/
بنه,/bane/
وفات,/vafāt/
سرگرای,/sarge(a)rāy/
پلخم,/palaxam/
بنوه,/bonve/
صف شکن,/safšekan/
ظلال,/zalāl/
گزیده,/gazide/
صفصف,/safsaf/
فراخ بین,/farāxbin/
پرتاب وتوان,/portābotavān/
طلاکار,/talākār/
عاریت,/'āriy[y]at/
عاری,/'āri/
گزیت,"/ga(e)zit, ga(e)zyat/"
سیل خیز,/seylxiz/
گزیدگی,/gazidegi/
دیز,/diz/
طلاق نامه,/talāqnāme/
پشت,/pošt/
سیلانه,/silāne/
گزیر,/ga(e)zir/
پشام,/pašām/
خندوتند,/xandotand/
خندنده,/xandande/
رهایی,/rahāy(')i/
هزال,/hazzāl/
حامی,/hāmi/
تاکسی,/tāksi/
سومو,/sumo/
سون,/sun/
نوازشگر,/navāzešgar/
بازه,/bāze/
مصالحه,/mosālehe/
واگن,/vāgon/
مصالح,/masāleh/
کارداری,/kārdāri/
کاردان,/kārdān/
یادبود,/yādbud/
حالی,/hāli/
یادباد,/yādbād/
واگفتن,/vāgoftan/
سلعه,/sa(e)l'e/
پردازیدن,/pardāzidan/
ژرفاسنج,/žarfāsanj/
جامگی,/jāmegi/
زقاق,/zoqāq/
روف,/ruf/
زفیر,/zafir/
روفتن,/ruftan/
چسبندگی,/časbandegi/
چسبانده,/časbānde/
تهویه,/tahviye/
جه,/jah/
گرنج,/gorenj/
مهمان نوازی,/mehmānnavāzi/
تهی,/tohi/
سریم,/ser[i]yom/
ناجنس,/nājens/
سریغ,/sariq/
سافل,/sāfel/
ها,/hā/
نسبی,/nasabi/
بژهان,/bežhān/
تنده,/tonde/
جان خانی,/jānxāni/
بئس المصیر,/be'salmasir/
تیس,/teys/
توسل,/tavassol/
بئس القرین,/be'salqarin/
بطین,/batin/
مناقض,/monāqez/
مناقصه,/monāqese/
غیرهما,/qeyrohomā/
تسو,/tasu/
چغزواره,/čaqzvāre/
ضجر,/zajar/
ضجرت,/zojrat/
غیریت,/qeyriy[y]at/
سریع الحرکه,/sari'olhare(a)ke/
غلمان,/qelmān/
سریع تقال,
اجتنا,/'ejtenā/
جاورس,/jāvars/
قلقلک,/qelqelak/
کلندیدن,/kalandidan/
میکروویو,/mikroveyv/
خانه پرورد,/xāneparvard/
مهرگان,/mehr[e]gān/
پرخور,/porxor/
خانه پرور,/xāneparvar/
پرخوراک,/porxorāk/
خسایس,/xasāy(')es/
ماهانه,/māhāne/
کهریز,/kahriz/
خساست,/xe(a)sāsat/
لتره,/latre/
بیص,/beys/
کهسار,/kohsār/
بلاغ,/balāq/
سرمست,/sarmast/
کلاه گیس,/kolāhgis/
کلاه گوشه,/kolāhguše/
بلاغت,/balāqat/
غالیه,/qāliye/
علاوه,/'a(e)lave/
بستانکار,/bestānkār/
بستانکاری,/bestānkāri/
علانیه,/'alāniy[y]e/
سپیدخار,/sepidxār/
سپیددست,/sepiddast/
آرزومندانه,/'ārezumandāne/
چربش,/čarbeš/
مکر,/makr/
آرزومند,/'ārezumand/
چرب سخنی,/čarbsoxani/
زایل,/zāy(')el/
مکذوب,/makzub/
خاراشتر,/xār[']oštor/
تنگ خو,/tangxu/
زبر,/zebr/
زبرپوش,/ze(a)barpuš/
لابراتوار,/lābrāto(u)vār/
دیبه,/dibah/
لابرلا,/lābarlā/
فلاح,/falāh/
بسیم,/basim/
پینه دوز,/pineduz/
دیباگر,/dibāgar/
مری,/mari/
انبیس,/'ambis/
مریخ,/merrix/
التوا,/'eltevā/
اضطرام,/'ezterām/
قبایل,/qabāyel/
اکبر,/'akbar/
اضطرار,/'ezterār/
ثلمه,/solme/
بلغونه,/bolqune/
صمدیت,/samadiy[y]at/
صمدانی,/samadāni/
مرده شور,/mordešur/
بلغور,/balqur/
هرنج,/haranj/
محبوب,/mahbub/
اعنی,/'a'ni/
اعواد,/'a'vād/
کوکبه,/ko[w]kabe/
زیرپیراهن,/zirpirāhan/
محبس,/mahbas/
عوامل,/'avāmel/
جب,/jab[b]/
عوام فریبی,/'avāmfaribi/
جاییدن,/jāyidan/
پاشا,/pāšā/
پژاون,/pažāvan/
تپه ماهور,/tappemāhur/
پژاگن,/pažāgen/
پاش,/pāš/
غالیه خط,/qāliyexat/
پپتک,/peptak/
پایین تنه,/pāy(')intane/
اشرف,/'ašraf/
اجحاف,/'ejhāf/
اصالت,/'e(a)sālat/
کاکاسیاه,/kākāsiyāh/
کبید,/kabid/
وازدگی,/vāzadegi/
کپیه,/kopiye/
شونیز,/šuniz/
کپیدن,/kapidan/
شونده,/šavande/
دادآفرید,/dād[']āfarid/
دادآفرین,/dād[']āfarin/
واریس,/vāris/
یک دم,/yekdam/
درحال,/darhāl/
فراغ,/fa(e)rāq/
عربی,/'arabi/
فراغت,/fa(e)rāqat/
لغ,/laq/
عربده جویی,/'arbadejuy(')i/
سنبل,/sambal/
ارزیاب,/'arzyāb/
شفیع,/šafi'/
شفیعا,/šafi'ā/
متعالی,/mota(e)'āli/
شوره,/šure/
متعال,/mota(e)'āl/
انگاز,/'angāž/
راصد,/rāsed/
فراوار,/farāvār/
معول,/me'val/
قلب کاری,/qalbkāri/
دراینده,/darāyande/
درایوین سینما,/derāyvinsina(e)mā/
انگاریدن,/'engāridan/
دمغازه,/domqāze/
قلب کار,/qalbkār/
گران فروش,/gerānforuš/
مستکره,/mostakrah/
نکوهش,/nekuheš/
اشارات,/'ešārāt/
نکوه,/nekuh/
برگرداننده,/bargardānande/
ادانی,/'adāni/
گوش,/guš/
ادامه,/'edāme/
لعل فشان,/la'lfešān/
مقتوله,/maqtule/
لعلگر,/la'lgar/
دوستانه,/dustāne/
داحول,/dāhul/
عما,/'amā/
