word,spell
منزعج,/monza'ej/
قلما سنگ,/qalmāsang/
مترقی,/mote(a)raqqi/
سرامیک,/serāmik/
سیر,/seyr/
سیده,/se(a)yyede/
اسفندان,/'esfandān/
بلادت,/balādat/
مطهره,/ma(e)thare/
مترقب,/mote(a)raqqeb/
اولکا,/'ulkā/
اولجامیشی,/'uljāmiši/
حال,/hāl/
ناشاد,/nāšād/
ناسیونالیسم,/nāsiyonālism/
سنگ نگاره,/sangnegāre/
حاکی,/hāki/
مجرب,/mojarrab/
سنگناک,/sangnāk/
مشاحنت,/mošāhenat/
یدک,/yadak/
ید,/yad/
ملت,/mellat/
پرنون,/parnun/
ملبوس,/malbus/
پرنورد,/pornavard/
بالار,/bālār/
جارف,/jāref/
صاد,/sād/
زیچ,/zič/
گندم دیوانه,/gandomdivāne/
زیچک,/zičak/
جارختی,/jāraxti/
خست,/xessat/
دریوزه,/daryuze/
بالاتنه,/bālātane/
ملتوی,/moltavi/
لاینفع,/lāyanfa'/
لاینده,/lāyande/
خسبیدن,/xosbidan/
محاکم,/mahākem/
محاکمات,/mohakemāt/
کمان چوله,/kamānču(o)le/
سبک پا,/sabokpā/
کمان ابرو,/kamān[']abru/
شقشقه,/šaqšaqe/
سبک ب,
تفتت,/tafattot/
ملتمس,/moltamas/
تفتان,/taftān/
طلاقت,/talāqat/
به هم ریخته,/beham[']rixte/
سفط,/safat/
نااوستا,/nā'ustā/
سفسطی,/safsati/
نااهل,/nā'ahl/
به ویژه,/beviže/
خشک رود,/xoškrud/
ترشینک,/toršinak/
نگاهدار,/negāhdār/
نگاهبانی,/negāhbāni/
اساطین,/'asātin/
تالیم,/tāliyom/
خرسک,/xersak/
چوب بست,/čubbast/
افراد,/'afrād/
چوب پا,/čubpā/
خرسته,/xereste/
نیو,/niv/
نینیا,/niniyā/
برادر,/barādar/
راگبی,/rāgbi/
برادراندر,/barādar[']andar/
جبائیه,/jobbā'iy[y]e/
رام,/rām/
خشک نانه,/xošknānae/
گشادنامه,/gošādnāme/
خشک نانک,/xošknānak/
ادواری,/'advāri/
جبایت,/jebāyat/
کارد,/kārd/
سمط,/semt/
کاردار,/kārdār/
فرارون,/farārun/
آب تل,/'ābtal/
فرارونی,/farāruni/
آب تره,/'ābtare/
لاینحل,/lāyanhal[l]/
لایناک,/lāynāk/
بابیزن,/bābizan/
بابیزان,/bābizān/
خبث,/xabas/
دست کله,/dastkale/
خبب,/xabab/
فصوص,/fosus/
دستکش,/dastke(a)š/
فصول,/fosul/
پرتاب,/partāb/
پرتابل,/portābl/
حوقله,/ho[w]qale/
یشپ,/yašp/
یسیر,/yasir/
الک دولک,/'alakdolak/
سرشناس,/saršenās/
درنا,/dornā/
هفت برادران,/haftbarādarān/
سرشوی,/saršuy/
طوعااوکرها,/to[w]'an'o[w]karhan/
فرانهادن,/farāne(a)hādan/
پشکل,/peškel/
آژان,/'āžān/
آزیر,/'āzir/
الکتریکی,/'elect[e]riki/
پشکال,/paškāl/
ویولون,/viyolon/
جدال,/jedāl/
پاپیتال,/pāpitāl/
القاب,/'alqāb/
چراغوره,/čerāqvare/
عدسه,/'adase/
عدسی,/'adasi/
ایوار,/'ivār/
چراغ واسه,/čerāqvāse/
ندی,/nadā/
ایواز,/'ivāz/
آچمز,/'āčmaz/
اسبک,/'esbak/
دعی,/da'i[y]/
هزم,/hazm/
چوبی,/čubi/
دعوی,/da'vi/
چوبینه,/čubine/
اسبق,/'asbaq/
هزل آمیز,/hazl[']āmiz/
لمع,/lam'/
لمعان,/lama'ān/
مجلس گاه,/majlesgāh/
ثنایا,/sanāyā/
ترف,/tarf/
مجاری,/majāri/
مجارات,/mojārāt/
ثناگویی,/sanāguy(')i/
سندره,/sendare/
دقیق,/daqiq/
تخمین,/taxmin/
نفج,/nafj/
حظر,/hazr/
دقل,/daqal/
حظوظ,/hozuz/
نفح,/nafh/
باددستی,/bāddasti/
باد دست,/bāddast/
والانس,/vālāns/
بردی,/bardi[y]/
پسراندر,/pesar[']andar/
پسر,/pesar/
برده فروش,/bardeforuš/
اشترزهره,/'oštorzahre/
بانگ,/bāng/
دفاع,/defā'/
چیالک,/čiyālak/
اشتردل,/'oštordel/
چی,/či/
بانک,/bānk/
مولد,/mo[w]led/
